gene,k562_de,k562_ad,is_control
HAUS7,182,390,False
RPL12,182,306,False
UBE2I,182,216,False
GINS2,181,212,False
NDUFC1,181,218,False
USP36,180,270,False
MRPL16,179,176,False
SRSF2,179,211,False
DSTYK,178,231,False
FASTK,178,319,False
FBXW7,178,179,False
RANBP3,178,238,False
YBX3,178,226,False
RBBP4,177,202,False
CDK6,176,182,False
ICE1,176,333,False
SETD1A,176,277,False
ZNF292,175,196,False
DDX49,175,231,False
SKP2,174,188,False
CDC25B,173,242,False
ESYT1,173,189,False
MALSU1,173,174,False
MRPL41,173,177,False
POLR3F,173,262,False
XRCC6,173,251,False
HYPK,172,424,False
PSME3,172,298,False
SNRNP25,172,240,False
TAF1B,172,198,False
DMXL1,171,242,False
PITRM1,170,220,False
CTBP1,169,196,False
NOP14,169,375,False
CHKB,168,221,False
CLOCK,168,192,False
POLR2C,168,380,False
PIAS4,167,197,False
RABGGTA,167,214,False
RPRD1A,167,265,False
SYNGR3,167,237,False
CPSF2,166,213,False
GINS3,166,185,False
MEF2A,166,216,False
CT45A5,165,188,False
DDX59,165,169,False
UTP25,165,205,False
MRPS31,165,172,False
INTS13,165,221,False
TOX4,165,190,False
WNK1,165,203,False
HOXA3,164,201,False
MED26,164,230,False
MRPS18C,164,170,False
NUP133,164,243,False
ATF5,164,237,False
TBC1D1,164,231,False
EPB41L2,163,182,False
GAR1,163,183,False
PPIE,163,235,False
MTREX,163,317,False
ALG14,162,189,False
MRM1,162,273,False
SF1,162,168,False
USE1,162,249,False
CHAF1A,161,216,False
NOB1,161,225,False
PHF12,161,171,False
FBRSL1,160,199,False
ORC6,160,186,False
RPS29,160,262,False
PCBP1,159,210,False
TMSB10,159,170,False
UQCRC1,159,174,False
LAMB1,158,244,False
MTHFD1,158,205,False
NF1,158,166,False
ATXN10,158,196,False
SRSF11,158,207,False
CCND3,157,162,False
